date_added,duration
"September 20, 2019",1 Season
"September 15, 2017",1 Season
"September 1, 2018",1 Season
"October 31, 2019",1 Season
"October 30, 2019",1 Season
"October 15, 2019",1 Season
"October 10, 2015",1 Season
"October 1, 2019",1 Season
"October 1, 2016",1 Season
"November 15, 2016",1 Season
"May 3, 2019",1 Season
"March 9, 2018",1 Season
"March 31, 2019",1 Season
"March 31, 2019",1 Season
"March 31, 2018",1 Season
"March 31, 2017",1 Season
"March 31, 2017",1 Season
"March 31, 2017",1 Season
"March 31, 2013",1 Season
"March 29, 2019",1 Season
"March 27, 2018",1 Season
"March 21, 2017",1 Season
"June 28, 2019",1 Season
"June 21, 2019",1 Season
"June 10, 2017",1 Season
"July 8, 2018",1 Season
"July 30, 2019",1 Season
"July 18, 2017",1 Season
"July 12, 2017",1 Season
"July 1, 2017",1 Season
"January 5, 2018",1 Season
"January 28, 2016",1 Season
"January 25, 2019",1 Season
"January 23, 2019",1 Season
"January 21, 2019",1 Season
"January 17, 2018",1 Season
"January 15, 2019",1 Season
"January 10, 2020",1 Season
"February 22, 2017",1 Season
"February 17, 2018",1 Season
"February 15, 2019",1 Season
"February 10, 2017",1 Season
"February 1, 2019",1 Season
"February 1, 2018",1 Season
"February 1, 2017",1 Season
"December 7, 2018",1 Season
"December 31, 2017",1 Season
"December 31, 2017",1 Season
"December 26, 2018",1 Season
"December 23, 2018",1 Season
"December 23, 2017",1 Season
"December 18, 2018",1 Season
"December 15, 2019",1 Season
"December 15, 2016",1 Season
"December 1, 2017",1 Season
"August 8, 2019",1 Season
"August 8, 2019",1 Season
"August 25, 2016",1 Season
"August 24, 2018",1 Season
"August 24, 2018",1 Season
"August 15, 2019",1 Season
"April 25, 2019",1 Season
"April 22, 2015",1 Season
"April 11, 2019",1 Season
"April 1, 2017",1 Season
" September 6, 2018",7 Seasons
" September 30, 2019",5 Seasons
" September 1, 2019",9 Seasons
" September 1, 2017",3 Seasons
" October 23, 2015",3 Seasons
" November 10, 2017",2 Seasons
" November 1, 2019",2 Seasons
" May 3, 2019",14 Seasons
" May 28, 2019",4 Seasons
" May 27, 2019",4 Seasons
" May 23, 2019",3 Seasons
" May 22, 2019",5 Seasons
" May 22, 2017",4 Seasons
" May 21, 2019",7 Seasons
" May 18, 2017",8 Seasons
" May 15, 2019",8 Seasons
" March 31, 2018",6 Seasons
" March 31, 2017",2 Seasons
" June 16, 2017",2 Seasons
" July 7, 2017",4 Seasons
" July 4, 2016",2 Seasons
" July 19, 2019",6 Seasons
" January 15, 2017",2 Seasons
" January 1, 2018",5 Seasons
" December 15, 2016",5 Seasons
" August 4, 2017",2 Seasons
" August 30, 2019",7 Seasons
" August 2, 2019",4 Seasons
" August 15, 2019",2 Seasons
" April 9, 2019",4 Seasons
" April 15, 2017",3 Seasons
